CBSA_ID,CBSA_Name_BRFSS,PercentAsthma,PercentObese,PercentBingeDrink,PercentCOPD,PercentCoronaryHeartDisease,PercentCurrentSmoker,PercentDepression,PercentDiabetes,PercentDifficultyErrandsAlone,PercentFluShot,PercentHealthCoverage,PercentOtherCancer,PercentSeatbeltUse,PercentSkinCancer,PercentStroke,PercentTooExpensiveToSeeDoctor,CBSA_Name,FIPS_ID,FIPS_Name
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",7.76,37.55,13.43,7.57,6.03,16.74,21.97,13.45,8.51,58.94,85.46,6.83,96.49,7.07,3.89,11.51,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",13073,"Columbia, GA"
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",7.76,37.55,13.43,7.57,6.03,16.74,21.97,13.45,8.51,58.94,85.46,6.83,96.49,7.07,3.89,11.51,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",13181,"Lincoln, GA"
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",7.76,37.55,13.43,7.57,6.03,16.74,21.97,13.45,8.51,58.94,85.46,6.83,96.49,7.07,3.89,11.51,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",13189,"McDuffie, GA"
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",7.76,37.55,13.43,7.57,6.03,16.74,21.97,13.45,8.51,58.94,85.46,6.83,96.49,7.07,3.89,11.51,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",13245,"Richmond, GA"
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",7.76,37.55,13.43,7.57,6.03,16.74,21.97,13.45,8.51,58.94,85.46,6.83,96.49,7.07,3.89,11.51,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",45003,"Aiken, SC"
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",7.76,37.55,13.43,7.57,6.03,16.74,21.97,13.45,8.51,58.94,85.46,6.83,96.49,7.07,3.89,11.51,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",45037,"Edgefield, SC"
12420,"Austin-Round Rock, TX Metropolitan Statistical Area",7.52,29.25,22.93,3.09,2.45,12.49,16.69,9.59,5.26,63.42,81.78,5.62,98.29,4.84,2.64,12.83,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",48021,"Bastrop, TX"
12420,"Austin-Round Rock, TX Metropolitan Statistical Area",7.52,29.25,22.93,3.09,2.45,12.49,16.69,9.59,5.26,63.42,81.78,5.62,98.29,4.84,2.64,12.83,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",48055,"Caldwell, TX"
12420,"Austin-Round Rock, TX Metropolitan Statistical Area",7.52,29.25,22.93,3.09,2.45,12.49,16.69,9.59,5.26,63.42,81.78,5.62,98.29,4.84,2.64,12.83,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",48209,"Hays, TX"
12420,"Austin-Round Rock, TX Metropolitan Statistical Area",7.52,29.25,22.93,3.09,2.45,12.49,16.69,9.59,5.26,63.42,81.78,5.62,98.29,4.84,2.64,12.83,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",48453,"Travis, TX"
12420,"Austin-Round Rock, TX Metropolitan Statistical Area",7.52,29.25,22.93,3.09,2.45,12.49,16.69,9.59,5.26,63.42,81.78,5.62,98.29,4.84,2.64,12.83,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",48491,"Williamson, TX"
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",10.3,31.07,17.11,6.2,3.4,15.42,19.48,10.32,6.11,66.38,94.01,6.55,95.81,5.89,2.61,9.64,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",24003,"Anne Arundel, MD"
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",10.3,31.07,17.11,6.2,3.4,15.42,19.48,10.32,6.11,66.38,94.01,6.55,95.81,5.89,2.61,9.64,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",24005,"Baltimore, MD"
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",10.3,31.07,17.11,6.2,3.4,15.42,19.48,10.32,6.11,66.38,94.01,6.55,95.81,5.89,2.61,9.64,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",24013,"Carroll, MD"
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",10.3,31.07,17.11,6.2,3.4,15.42,19.48,10.32,6.11,66.38,94.01,6.55,95.81,5.89,2.61,9.64,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",24025,"Harford, MD"
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",10.3,31.07,17.11,6.2,3.4,15.42,19.48,10.32,6.11,66.38,94.01,6.55,95.81,5.89,2.61,9.64,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",24027,"Howard, MD"
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",10.3,31.07,17.11,6.2,3.4,15.42,19.48,10.32,6.11,66.38,94.01,6.55,95.81,5.89,2.61,9.64,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",24035,"Queen Anne's, MD"
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",10.3,31.07,17.11,6.2,3.4,15.42,19.48,10.32,6.11,66.38,94.01,6.55,95.81,5.89,2.61,9.64,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",24510,"Baltimore (Independent City), MD"
12940,"Baton Rouge, LA Metropolitan Statistical Area",9.25,33.03,20.49,7.1,4.62,21.69,19.43,11.16,7.15,58.29,88.93,6.86,94.58,3.84,4.55,14.71,"Baton Rouge, LA (Metropolitan Statistical Area)",22005,"Ascension, LA"
12940,"Baton Rouge, LA Metropolitan Statistical Area",9.25,33.03,20.49,7.1,4.62,21.69,19.43,11.16,7.15,58.29,88.93,6.86,94.58,3.84,4.55,14.71,"Baton Rouge, LA (Metropolitan Statistical Area)",22007,"Assumption, LA"
12940,"Baton Rouge, LA Metropolitan Statistical Area",9.25,33.03,20.49,7.1,4.62,21.69,19.43,11.16,7.15,58.29,88.93,6.86,94.58,3.84,4.55,14.71,"Baton Rouge, LA (Metropolitan Statistical Area)",22033,"East Baton Rouge, LA"
12940,"Baton Rouge, LA Metropolitan Statistical Area",9.25,33.03,20.49,7.1,4.62,21.69,19.43,11.16,7.15,58.29,88.93,6.86,94.58,3.84,4.55,14.71,"Baton Rouge, LA (Metropolitan Statistical Area)",22037,"East Feliciana, LA"
12940,"Baton Rouge, LA Metropolitan Statistical Area",9.25,33.03,20.49,7.1,4.62,21.69,19.43,11.16,7.15,58.29,88.93,6.86,94.58,3.84,4.55,14.71,"Baton Rouge, LA (Metropolitan Statistical Area)",22047,"Iberville, LA"
12940,"Baton Rouge, LA Metropolitan Statistical Area",9.25,33.03,20.49,7.1,4.62,21.69,19.43,11.16,7.15,58.29,88.93,6.86,94.58,3.84,4.55,14.71,"Baton Rouge, LA (Metropolitan Statistical Area)",22063,"Livingston, LA"
12940,"Baton Rouge, LA Metropolitan Statistical Area",9.25,33.03,20.49,7.1,4.62,21.69,19.43,11.16,7.15,58.29,88.93,6.86,94.58,3.84,4.55,14.71,"Baton Rouge, LA (Metropolitan Statistical Area)",22077,"Pointe Coupee, LA"
12940,"Baton Rouge, LA Metropolitan Statistical Area",9.25,33.03,20.49,7.1,4.62,21.69,19.43,11.16,7.15,58.29,88.93,6.86,94.58,3.84,4.55,14.71,"Baton Rouge, LA (Metropolitan Statistical Area)",22091,"St. Helena, LA"
