CBSA_ID,CBSA_Name_BRFSS,PercentAsthma,PercentObese,PercentBingeDrink,PercentCOPD,PercentCoronaryHeartDisease,PercentCurrentSmoker,PercentDepression,PercentDiabetes,PercentDifficultyErrandsAlone,PercentFluShot,PercentHealthCoverage,PercentOtherCancer,PercentSeatbeltUse,PercentSkinCancer,PercentStroke,PercentTooExpensiveToSeeDoctor
28940,"Knoxville, TN Metropolitan Statistical Area",11.65,30.95,13.33,10.03,5.05,27.26,24.71,11.21,9.3,57.7,87.73,8.01,95.23,10.16,4.55,13.6
29620,"Lansing-East Lansing, MI Metropolitan Statistical Area",9.26,31.8,21.27,5.96,5.63,20.21,23.71,10.6,9.27,64.16,92.28,7.64,97.39,6.4,4.31,9.27
30460,"Lexington-Fayette, KY Metropolitan Statistical Area",12.13,31.97,18.0,7.31,4.41,18.62,16.52,9.77,6.01,66.14,93.92,8.25,93.48,8.76,,11.22
30700,"Lincoln, NE Metropolitan Statistical Area",9.89,28.9,24.24,5.53,3.5,12.21,20.71,8.25,3.74,68.35,89.76,6.43,92.3,5.84,2.31,11.03
30780,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",9.45,35.35,18.16,7.03,5.25,24.82,23.26,11.05,9.54,61.52,88.22,8.25,95.22,7.52,3.47,18.86
31080,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",7.5,24.01,16.8,3.41,2.65,11.74,16.22,10.11,5.06,59.57,88.73,5.01,97.02,5.66,1.65,13.64
31140,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",11.05,30.06,15.61,10.86,5.4,22.66,21.87,12.37,8.12,60.45,91.35,7.92,93.32,6.62,4.85,12.44
31740,"Manhattan, KS Metropolitan Statistical Area",8.48,24.22,23.26,4.79,2.75,12.07,18.29,6.63,5.57,65.75,91.71,4.87,94.48,4.82,1.96,8.42
32820,"Memphis, TN-MS-AR Metropolitan Statistical Area",8.05,37.21,12.12,6.02,2.86,20.07,17.45,11.57,8.36,49.26,82.94,5.84,92.31,4.16,4.97,14.16
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",5.81,27.03,15.61,4.5,3.7,13.59,13.29,8.52,5.93,62.96,85.26,5.91,96.19,6.36,3.19,16.93
33340,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",9.0,29.06,21.03,5.0,3.65,14.49,19.28,10.32,6.75,49.8,92.76,7.0,93.34,4.43,2.26,11.36
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",7.22,26.02,20.48,3.87,3.04,13.21,19.2,6.74,4.75,65.66,92.13,6.34,97.27,5.7,2.01,10.12
33500,"Minot, ND Micropolitan Statistical Area",9.63,34.56,18.36,5.51,3.36,19.08,24.31,8.38,3.21,58.52,87.77,6.05,88.23,3.68,2.13,8.5
33874,"Montgomery County-Bucks County-Chester County, PA Metropolitan Division",9.93,24.98,20.66,3.67,5.98,9.98,16.19,7.8,4.16,64.35,94.59,8.85,94.97,7.65,,9.34
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",6.76,29.49,13.61,9.73,6.4,20.53,21.58,12.95,10.13,64.97,84.27,9.75,96.69,10.85,3.82,16.85
